프레임번호,타임스탐프_초,단순분류,정상확률,포트홀확률,신뢰도,CP클래스,CP클래스번호,파일경로
205,10.260250474734843,정상,0.5132,0.4868,0.5132,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000205_10.260s.jpg
206,10.310300477050623,정상,0.5101,0.4899,0.5101,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000206_10.310s.jpg
207,10.360350479366403,정상,0.4901,0.5099,0.5099,애매한 포트홀,2,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000207_10.360s.jpg
208,10.410400481682183,정상,0.5767,0.4233,0.5767,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000208_10.410s.jpg
209,10.460450483997962,정상,0.5537,0.4463,0.5537,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000209_10.460s.jpg
210,10.510500486313742,정상,0.5921,0.4079,0.5921,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000210_10.511s.jpg
211,10.560550488629522,정상,0.6154,0.3846,0.6154,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000211_10.561s.jpg
212,10.610600490945302,정상,0.5737,0.4263,0.5737,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000212_10.611s.jpg
213,10.66065049326108,정상,0.5591,0.4409,0.5591,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000213_10.661s.jpg
214,10.71070049557686,정상,0.5424,0.4576,0.5424,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000214_10.711s.jpg
215,10.76075049789264,정상,0.5756,0.4244,0.5756,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000215_10.761s.jpg
216,10.81080050020842,정상,0.5757,0.4243,0.5757,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000216_10.811s.jpg
217,10.8608505025242,정상,0.6194,0.3806,0.6194,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000217_10.861s.jpg
218,10.91090050483998,정상,0.6291,0.3709,0.6291,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000218_10.911s.jpg
219,10.96095050715576,정상,0.6115,0.3885,0.6115,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000219_10.961s.jpg
220,11.01100050947154,정상,0.6027,0.3973,0.6027,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000220_11.011s.jpg
221,11.061050511787318,정상,0.6176,0.3824,0.6176,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000221_11.061s.jpg
222,11.111100514103098,정상,0.6171,0.3829,0.6171,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000222_11.111s.jpg
223,11.161150516418878,정상,0.6389,0.3611,0.6389,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000223_11.161s.jpg
224,11.211200518734659,정상,0.6372,0.3628,0.6372,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000224_11.211s.jpg
225,11.261250521050439,정상,0.6506,0.3494,0.6506,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000225_11.261s.jpg
226,11.311300523366217,정상,0.6485,0.3515,0.6485,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000226_11.311s.jpg
227,11.361350525681997,정상,0.6425,0.3575,0.6425,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000227_11.361s.jpg
228,11.411400527997777,정상,0.6125,0.3875,0.6125,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000228_11.411s.jpg
229,11.461450530313558,정상,0.6044,0.3956,0.6044,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000229_11.461s.jpg
230,11.511500532629336,정상,0.6048,0.3952,0.6048,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000230_11.512s.jpg
231,11.561550534945116,정상,0.6119,0.3881,0.6119,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000231_11.562s.jpg
